"plant.architecture","Stem.Diameter.Rep1","branch_habit","low.branching","Stem.Diameter.Rep2","branch_levels","flowering","Stem.Diameter.Rep3","27643909","28103607","29449366","31196826","32865115","34462062","35808218","37123583","38699792","39131171"
"compact","19.05","2","no","19.46","3","absent","20.45",0,0,0,0,0,0,0,0,0,0
"compact","17.66","2","no","18.42","5","present","23.66",1,1,1,1,1,1,0,0,0,0
"umbrella","20.86","3","no","22.12","1","absent","27.82",1,1,1,1,1,1,1,1,1,1
"compact","16.45","2","yes","16.22","3","absent","19.97",0,0,0,0,0,0,0,0,1,1
"cylindrical","24.59",NA,"no","23.19",NA,"absent","24.21",1,1,1,1,1,1,0,0,0,0
"compact","11.77","2","yes","16.03","4","absent","14.03",0,0,0,0,0,0,0,0,0,0
"umbrella","17.29","2","no","17.61","1","present","17.3",2,2,2,1,1,1,1,1,1,1
"compact","28.46","2","no","27.92","4","absent","23.86",0,0,0,0,0,0,0,0,0,0
"compact","21.92","2","no","16.68","6","present","25.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","18.92","3","yes","17.76","1","absent","11.36",1,1,1,1,1,1,2,2,1,2
"cylindrical","16.32","2","yes","15.89",NA,"absent","16.87",2,2,2,2,2,1,1,0,0,0
"compact","17.56","3","yes","15.85","5","present","20.51",2,2,2,2,0,0,0,0,0,0
"compact","17.36","3","no","21.67","2","absent","19.86",1,1,1,1,1,1,1,0,0,0
"compact","14.94","2","yes","13.63","5","present","16.01",2,2,2,2,2,2,2,1,2,2
"cylindrical","15.75",NA,"no","13.85",NA,"absent","14.76",1,1,2,2,2,2,2,2,2,1
"compact","15.91","2","no","19.8","4","absent","16.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","0",NA,"",NA,NA,"",NA,1,1,1,1,1,0,0,0,0,0
"umbrella","23.38","2","no","21.67","2","absent","18.65",0,0,0,1,1,1,1,1,1,1
"compact","16.97","3","no","23.61","5","present","20.41",2,2,2,2,2,2,2,2,1,1
"compact","11.54","2","yes","12.12","2","absent","11.77",0,0,0,1,1,1,1,0,1,1
"cylindrical","19.5",NA,"yes","16.54",NA,"absent","20.42",0,0,0,0,0,0,0,0,0,0
"compact","31.15","2","no","26.3","5","present","26.61",0,0,0,0,0,0,0,0,0,0
"compact","23.74","2","no","19.55","2","absent","17.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.83","2","yes","18.12","3","absent","19.95",1,1,1,2,2,2,2,1,1,1
"compact","20.72","2","no","20.86","5","present","19.36",0,0,0,0,0,0,1,1,1,1
"compact","20.33","2","no","19.96","3","absent","21.7",0,0,0,0,0,0,1,1,1,1
"compact","15.03","2","yes","14.14","3","absent","20.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","13.48","3","no","17.7","2","absent","13.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","18.82",NA,"no","16.79",NA,"absent","23.67",0,0,0,0,0,0,0,0,0,0
"compact","20.78","2","no","18.02","4","present","19.11",0,0,0,0,0,0,0,0,0,0
"compact","26","3","yes","17.95","4","absent","13.58",1,1,1,1,1,0,0,0,1,1
"compact","15.38","2","no","16.12","3","absent","27.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","18.69","2","no","22.47","4","present","22.33",1,1,1,2,2,1,1,0,2,2
"compact","12.47","3","no","13.48","3","absent","15.29",1,1,1,1,1,1,1,1,1,1
"compact","23.5","3","no","21.45","3","absent","24.21",0,0,0,0,0,0,1,1,1,1
"compact","21.48","3","no","17.05","3","present","32.96",0,0,1,NA,1,1,1,1,1,1
"umbrella","26.84","3","no","24.76","1","present","28.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","22.58","3","no","19.07","2","absent","16.3",2,2,2,2,2,1,1,1,1,1
"compact","16.69","2","no","15.3","4","present","17.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","20.36","2","yes","16.74","2","absent","20.98",1,1,1,1,1,1,1,1,0,0
"compact","18.86","3","no","20.25","2","absent","15.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","23.36","2","yes","24.3","3","absent","13.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","12.62","2","no","19.2","20.6","absent","20",NA,0,0,0,NA,1,1,NA,2,2
"compact","18.35","2","yes","17.52","2","absent","14.06",1,1,1,1,1,1,1,2,2,2
"cylindrical","19.93",NA,"yes","16.21",NA,"absent","22.12",0,0,1,1,1,1,1,1,1,1
"compact","16.35","2","no","13.16","3","present","13.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","18.79","2","no","18.7","1","absent","17.76",1,1,1,1,1,1,1,1,1,1
"compact","17.95","2","yes","16.36","3","absent","21.75",0,0,0,0,0,0,0,1,1,1
"compact","20.67","2","no","15.35","3","absent","14.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.79","2","no","17.6","3","absent","21.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","17.52","2","no","20.47","2","absent","17.29",1,1,1,1,1,1,1,1,1,1
"compact","13.85","2","no","19.91","4","absent","19.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"open","16.92","3","no","25.81","4","present","18.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","18.63","3","yes","13.87","2","present","15.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"open","20.31","2","no","21.41","3","absent","17",0,0,0,0,0,0,1,1,0,0
"compact","17.78","2","no","20.36","3","absent","20.26",0,0,0,0,0,0,0,0,0,0
"compact","19.6","2","no","16.81","4","present","25.16",1,1,1,1,1,1,1,0,1,1
"compact","21.12","2","no","14.21","5","present","24.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.22","3","no","15.3","1","absent","16.31",0,0,0,0,0,0,0,0,0,0
"compact","19.34","2","yes","19.27","1","absent","17.65",0,0,0,0,0,0,0,0,0,0
"compact","24.96","2","no","25.43","4","present","16.63",0,0,0,0,0,0,0,0,0,0
"compact","18.08","2","no","18.84","2","absent","20.23",0,0,0,0,0,1,1,1,1,1
"compact","26.21","2","no","21.52","5","present","19.9",1,1,1,1,1,1,1,1,1,1
"compact","23.35","2","no","15.34","3","absent","23.26",0,0,0,0,0,0,0,0,0,0
"compact","11.65","2","yes","18.51","3","absent","18.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","16.63","2","no","19.93","2","absent","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","19.05","2","no","18.54","5","present","13.26",1,1,0,0,1,0,0,0,0,0
"cylindrical","15.68",NA,"no","14.06",NA,"absent","13.69",0,0,0,0,0,0,1,1,1,1
"cylindrical","14.02",NA,"yes","14.54",NA,"absent","17.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","12.75","3","yes","15.58","1","absent","18.25",0,0,1,1,1,1,2,2,2,2
"cylindrical","24.36","3","no","18.76","5","absent","20.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","17.79","3","no","29.63","3","present","20.44",0,0,0,0,0,0,0,0,0,0
"compact","28.09","2","no","23.12","3","absent","18.46",1,1,1,1,1,0,0,0,0,0
"compact","14.83","2","no","15.83","4","absent","16.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","11.63",NA,"yes","11.97",NA,"absent","14.71",0,0,0,0,0,1,1,0,1,1
"compact","15.68","2","no","14.83","1","absent","15.7",0,0,0,0,0,0,0,0,0,0
"compact","9.7","2","no","15.8","1","absent","19.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","25.18","2","no","26.56","3","absent","20.92",0,0,0,0,0,0,1,1,1,1
"cylindrical","18.36",NA,"yes","17.5",NA,"absent","15.85",1,1,2,2,2,2,2,2,2,2
"cylindrical","19.37","2","no","15.27",NA,"absent","20.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","16.06","2","no","17.53","2","absent","18.04",0,0,0,0,0,0,0,0,0,0
"compact","9.27","2","yes","14.74","2","absent","15.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","15.07",NA,"no","12.57",NA,"absent","20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","19.37","2","no","24.83","2","absent","20.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","13.59","3","yes","14.42","2","absent","12.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","17.47","3","yes","12.91","2","absent","20.55",1,1,1,1,1,1,1,1,1,1
"compact","17.63","3","no","25.05","3","absent","23.68",0,0,1,1,1,1,1,1,1,1
"compact","12.46","2","yes","13.38","2","absent","17.36",1,1,1,1,1,1,1,1,1,1
"compact","22.51","2","no","23.17","2","absent","16.12",1,1,1,1,1,1,1,1,1,1
"compact","20.42","2","no","17.01","3","absent","18.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","17.05",NA,"yes","16.6",NA,"absent","13.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","27.58","2","no","16.07","5","present","16.18",0,0,1,1,1,1,1,1,1,1
"compact","17.46","3","yes","20.94","3","absent","17.94",1,1,1,1,1,1,1,1,1,1
"compact","23.64","2","no","25.48","5","present","21.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","15.59","2","yes","14.23","1","absent","14.15",0,0,1,1,1,1,1,2,2,2
"compact","18.36","2","no","25.67","3","absent","15.36",0,0,0,0,0,0,0,0,0,0
"compact","17.69","2","no","18.62","3","present","13.19",0,0,0,0,0,0,0,0,0,0
"compact","20.32","2","","20.25","4","present","14.48",0,0,1,1,1,1,1,1,1,1
"compact","19.69","2","yes","15.39","2","absent","28.56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.94","3","yes","16.94","5","present","23.6",1,1,1,1,1,1,1,0,0,0
"compact","13.77","2","no","20.66","5","present","14.77",0,0,0,0,0,0,0,0,0,0
"compact","25.5","3","no","15.64","2","absent","19.76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","14.6","2","yes","12.5","2","absent","14.79",0,0,0,0,0,0,0,0,0,0
"compact","17.22","2","yes","19.05","3","absent","23.59",0,0,0,0,0,0,0,0,0,0
"cylindrical","14.53",NA,"no","13.16",NA,"absent","12.41",0,0,1,1,1,1,2,2,2,2
"compact","12.23","2","yes","23.91","3","absent","27.62",0,0,0,0,0,0,0,1,1,1
"cylindrical","14.44",NA,"no","16.74",NA,"absent","14.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","20.85","2","yes","21.78","4","absent","14.12",0,0,0,0,0,0,1,0,1,1
"cylindrical","24.14",NA,"no","20.21",NA,"","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","16.64","2","yes","13.89","2","absent","18.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","16.09","3","no","15.39","3","present","13.83",0,0,1,1,1,0,0,0,0,0
"umbrella","17.84","3","yes","20.18","1","absent","17.02",1,1,1,1,1,0,0,0,0,0
"umbrella","26.41","3","no","31.42","2","absent","18.23",2,2,2,2,2,1,1,1,1,1
"compact","17.62","3","no","18.6","2","absent","22.55",0,0,1,1,1,1,0,0,0,0
"cylindrical","15.96",NA,"yes","15.85",NA,"absent","10.96",1,1,1,1,1,1,0,0,0,0
"compact","18.43","2","no","10.42","4","present","10.79",1,1,1,1,1,1,1,1,0,0
"compact","20.49","2","no","17.1","3","absent","22.35",1,1,1,1,1,1,1,1,1,1
"cylindrical","11.69",NA,"yes","15.72",NA,"absent","14.01",1,1,1,1,1,1,1,1,1,1
"umbrella","15.26","2","yes","11.35","1","present","15.76",1,1,2,2,2,2,2,2,2,2
"umbrella","23.67","3","yes","16.42","2","present","17.54",0,0,0,0,0,0,0,1,1,1
"cylindrical","21.2",NA,"no","23.38",NA,"absent","20.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","18.3",NA,"yes","14.55",NA,"absent","20.97",0,0,1,1,1,1,1,1,1,1
"compact","17.16","3","yes","10.88","3","absent","12.34",2,2,2,2,2,2,1,0,1,1
"open","22.28","2","no","18.07","4","absent","18.48",0,0,0,0,0,0,0,0,0,0
"compact","14.09","2","yes","17.54","3","absent","14.63",0,0,1,1,1,1,1,1,1,1
"compact","31.9","3","no","26.87","4","present","26.59",0,0,0,0,0,0,0,0,0,0
"cylindrical","15.82",NA,"no","14.8",NA,"absent","13.15",0,0,0,1,1,1,1,0,1,1
"compact","14.48","2","yes","18.22","3","absent","13.52",2,2,2,2,1,1,1,1,0,0
"compact","19.47","2","no","18.59","1","absent","15.57",0,0,0,0,0,0,0,0,0,0
"compact","11.44","2","yes","14.17","3","absent","18.29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","23.66","3","no","18.98","1","absent","14.32",2,2,2,2,2,2,2,2,2,2
"compact","34","3","no","20.04","3","absent","34.28",0,0,0,0,0,0,0,0,0,0
"compact","19.14","3","yes","15.62","3","present","15.4",0,0,0,1,1,1,1,0,1,1
"compact","18.83","3","no","19.56","2","absent","14.24",0,0,1,2,2,2,2,1,2,2
"compact","28.35","2","no","20.32","4","present","22.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","20.65",NA,"no","29.42",NA,"absent","23.16",0,0,0,0,0,0,0,0,0,0
"cylindrical","15.32",NA,"no","20",NA,"absent","15.9",0,0,0,0,0,0,0,0,0,0
"compact","16.15","3","no","21.01","2","present","13.79",1,1,1,1,1,1,1,0,1,1
"compact","29.77","2","no","24.76","4","present","31.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","20","2","no","19.09","4","present","21.2",0,0,0,0,0,1,1,1,1,1
"compact","18.88","3","no","15.27","2","absent","14.24",0,0,0,0,0,0,0,0,0,0
"compact","20.2","2","no","16.55","3","absent","20.02",0,0,1,0,0,1,0,0,0,0
"compact","14.84","2","no","15.7","1","absent","14.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","16.48",NA,"no","18.46",NA,"absent","14.58",0,0,0,0,0,0,0,1,1,1
"open","15.52","2","no","13.32","2","absent","14.65",0,0,0,0,0,1,1,1,1,1
"compact","15.72","2","no","16.14","4","absent","17.33",0,0,0,0,0,1,1,1,1,1
"cylindrical","10.71",NA,"no","16.88",NA,"absent","17.15",1,1,1,1,1,1,1,2,2,2
"cylindrical","19.89",NA,"yes","13.31",NA,"absent","13.86",1,1,1,1,1,1,1,1,1,1
"compact","17.19","2","no","18.18","1","absent","13.8",1,1,2,2,2,1,1,1,1,1
"compact","24.4","2","no","22.16","2","absent","19.78",1,1,1,1,1,1,1,1,1,1
"umbrella","18.86","3","no","15.31","1","absent","15.32",0,0,1,1,1,1,2,2,2,2
"open","21.2","2","no","19.14","3","absent","17.81",0,0,0,0,0,1,1,1,1,1
"cylindrical","11.81",NA,"yes","17.45",NA,"absent","15.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","12.98","2","no","14.97","2","absent","15.04",0,0,1,0,0,0,0,0,0,0
"umbrella","16.19","3","no","17","3","present","18.8",1,1,1,1,1,1,0,1,1,1
"compact","15.92","3","no","17.3","5","present","19.32",0,0,0,1,1,1,1,1,2,2
"compact","15.41","2","no","22.74","5","present","19.31",0,0,1,1,1,1,2,2,2,2
"compact","23.15","2","no","20.72","3","present","22.84",0,0,0,0,0,0,0,0,0,0
"cylindrical","16.7",NA,"no","17",NA,"absent","16.92",0,0,0,0,0,1,1,1,1,1
"umbrella","18.88","2","yes","18.26","1","absent","14.29",0,0,0,1,1,1,1,0,1,1
"open","15.18","2","no","13.34","3","present","15.38",0,0,1,1,1,2,2,2,2,2
"compact","16.14","2","yes","15.86","2","absent","9.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","21.44",NA,"yes","12.86",NA,"absent","16.41",1,1,1,1,1,1,0,1,1,1
"compact","20.72","2","no","18.41","3","absent","19.8",0,0,1,1,1,2,2,2,2,2
"compact","17.07","3","yes","23.8","2","absent","12.55",0,0,1,1,1,1,2,1,2,2
"compact","22.17","2","yes","15.52","4","present","13.57",1,1,1,1,1,1,1,1,1,1
"compact","23.4","3","no","24.31","3","absent","19.35",0,0,0,0,0,0,0,1,2,2
"umbrella","22.29","2","no","20.65","2","absent","21.63",0,0,0,0,0,0,0,1,1,1
"compact","19.27","3","no","18.69","3","present","17.33",0,0,0,0,0,0,0,0,0,0
"open","18.3","3","yes","17.47","5","present","16.19",0,0,0,1,1,1,1,0,1,1
"cylindrical","19.04",NA,"no","15.05",NA,"absent","15.06",0,0,0,0,0,0,0,1,1,1
"compact","15.24","2","no","16.14","2","absent","15.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","16.27","2","no","23.18","2","absent","18.65",0,0,0,0,0,0,0,0,0,0
"compact","17.37","2","yes","30.55","5","present","14.86",1,1,1,1,1,1,1,1,1,1
"cylindrical","15.62",NA,"yes","12.54",NA,"absent","15.47",1,1,1,1,1,1,0,0,0,0
"compact","30.5","3","no","24.95","4","absent","21.59",1,1,1,1,1,1,1,1,1,1
"compact","12.32","3","no","18.54","5","present","16.72",2,2,2,2,2,2,1,0,1,1
"open","19.78","2","no","18.81","4","absent","20.7",0,0,0,0,0,0,0,0,0,0
"cylindrical","13.89","3","no","17.17",NA,"absent","16.09",0,0,1,1,1,1,1,2,2,2
"umbrella","11.32","2","no","15.92","2","absent","19.77",0,0,0,0,0,0,0,0,0,0
"cylindrical","16.82",NA,"no","17.7",NA,"absent","18.53",1,1,1,1,1,1,1,1,1,1
"compact","22.78","3","no","14.99","3","absent","14.77",1,1,1,1,1,1,1,1,1,1
"cylindrical","14.3","2","yes","12.52",NA,"absent","15.36",0,0,0,0,0,0,0,1,1,1
"umbrella","15.81","2","no","14.97","3","present","20.47",1,1,1,1,1,1,0,1,1,1
"cylindrical","16.26",NA,"yes","14.22",NA,"absent","13.17",0,0,1,1,1,1,1,1,1,1
"compact","17.75","2","no","16.69","4","present","20.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","12.81",NA,"yes","12.15",NA,"absent","16.22",0,0,0,0,0,0,1,1,1,1
"compact","13.64","3","no","14.41","1","absent","13.35",1,1,1,1,1,1,1,1,1,1
"compact","16.51","2","no","18.65","1","absent","14.26",0,0,0,0,0,0,1,1,1,1
"compact","19.91","2","no","14.83","1","absent","18.68",1,1,1,1,1,1,1,1,0,0
"compact","13.67","2","yes","9.94","1","absent","13.79",0,0,0,0,0,1,1,1,1,1
"compact","16.52","2","no","19.26","3","absent","17.47",1,1,1,1,1,1,1,1,1,1
"cylindrical","12.47",NA,"yes","16.02",NA,"absent","9.86",0,0,0,0,0,0,0,0,0,0
"compact","13.07","2","no","15.74","3","absent","14.92",1,1,1,1,1,1,1,2,2,2
"compact","20.74","2","no","23.05","5","present","28.13",1,1,0,0,0,0,0,1,1,1
"compact","20.09","3","no","18.05","1","absent","21.16",1,1,1,1,1,1,1,1,1,1
"compact","21.7","3","no","21.93","4","absent","11.67",1,1,1,1,1,1,1,1,1,1
"cylindrical","14.81","2","yes","14.84",NA,"absent","15.66",0,0,0,0,0,0,0,0,0,0
"compact","15.21","2","yes","14.11","1","absent","16.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","12.66","3","yes","18.97","1","absent","13.04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","20.02","2","no","21.5","3","absent","17.82",1,1,1,1,1,1,1,1,1,1
"cylindrical","17.47",NA,"yes","20",NA,"absent","22.5",0,0,0,0,0,0,0,1,1,1
"compact","11.22","2","yes","21.46","3","absent","14.69",1,1,1,1,1,1,1,2,2,2
"compact","19.56","2","no","15.07","4","absent","26.72",1,1,1,1,1,2,2,2,2,2
"compact","19.44","2","yes","21.32","3","absent","21.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","20.06","3","no","14.05","1","absent","20.16",0,0,0,0,0,0,0,0,0,0
"cylindrical","16.57",NA,"yes","15.27",NA,"absent","16.17",0,0,0,0,0,0,0,0,0,0
"compact","19.53","3","no","26.26","3","present","20.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","15.33","2","yes","16.53",NA,"absent","12.52",1,1,1,1,1,1,1,1,1,1
"compact","20.48","2","yes","17.28","4","absent","29.81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
